인허가일자,폐업일자,소재지전체주소,도로명전체주소,사업장명,좌표정보(x),좌표정보(y),위생업태명,영업장주변구분명,다중이용업소여부
20141119,20180717,대구광역시 달서구 도원동 611번지 1층,"대구광역시 달서구 월곡로 107, 1층 (도원동)",365해물포차,340000.2918,257435.6359,기타,기타,N
20141121,20201201,대구광역시 달서구 두류동 1227-17 (지상1층),"대구광역시 달서구 달구벌대로378길 3-13, 지상1층 (두류동)",윤자네홍화동동주,341865.4889,263488.7051,정종/대포집/소주방,,N
20141105,20190117,대구광역시 달서구 감삼동 702번지 삼정브리티시용산 3층 314호,"대구광역시 달서구 달구벌대로 1530, 301동 3층 314호 (감삼동, 삼정브리티시용산)",연빈재 차와식사,338484.6286,262062.395,한식,,N
20141107,20150601,대구광역시 달서구 도원동 1433-6번지 (지상1층),"대구광역시 달서구 도원로서길 7, 지상1층 (도원동)",종가집안동찜닭우거지감자탕,338668.1469,257489.2987,한식,기타,N
20141217,20190821,대구광역시 달서구 송현동 1945-17번지 sun medical (지상1층),"대구광역시 달서구 송현로 46, 지상1층 (송현동, sun medical)",서남시장김주연왕족발,339760.2964,259187.5364,식육(숯불구이),주택가주변,N
20141218,20151021,대구광역시 달서구 상인동 314-6번지 (지상1층),"대구광역시 달서구 월배로 178, 지상1층 (상인동)",함지박치즈등갈비,338509.3612,258537.0398,식육(숯불구이),기타,N
20070629,20090720,대구광역시 북구 서변동 1756-14번지,,동해복어,344022.2369,269991.9729,복어취급,주택가주변,N
20070605,20111221,대구광역시 북구 읍내동 477번지 외1필지,,대림읍내식당,340054.9179,273059.9391,한식,주택가주변,N
20070614,20081106,대구광역시 북구 복현동 458-3번지,,제주옥미아구찜,346123.2255,267139.6899,한식,주택가주변,N
20141103,20161017,대구광역시 달서구 진천동 574-1번지 (지상1층),"대구광역시 달서구 진천로 78, 101,201호 (진천동, 경일타워빌딩)",호두나무아래서,337643.3537,258327.4785,경양식,기타,N
20141105,20200106,대구광역시 달서구 진천동 5-6번지 (지상1층),"대구광역시 달서구 상원로 109, 지상1층 (진천동)",감통반진천점,338347.3426,258663.503,호프/통닭,아파트지역,N
20141107,20181228,대구광역시 달서구 두류동 494-17번지 외 1필지 광장 빌딩 (지상8층),"대구광역시 달서구 달구벌대로 1706, 지상8층 (두류동, 광장 빌딩)",쿠우쿠우 7호광장점,340154.2548,262805.5624,호프/통닭,,Y
20141110,20160119,대구광역시 달서구 본동 877-1번지 1층,"대구광역시 달서구 구마로14길 37, 1층 (본동)",자연나무,338659.4891,260572.4397,분식,주택가주변,N
20141111,20190813,대구광역시 달서구 진천동 599번지 외2필지 A동 5층,"대구광역시 달서구 월배로 63, A동 5층 (진천동)",프리미엄엔젤,337466.5448,258202.0536,뷔페식,아파트지역,Y
20141111,20150624,대구광역시 달서구 본리동 145-2번지 달서종합상가 바동 7호,"대구광역시 달서구 당산로 35, 바동 7호 (본리동, 달서종합상가)",산청흑돼지,339445.0707,261129.15,식육(숯불구이),,N
20141112,20170629,대구광역시 달서구 송현동 1032-8번지 (지상1층),"대구광역시 달서구 구마로52길 37, 지상1층 (송현동)",홀짝홀짝포차,340448.3685,260600.9353,정종/대포집/소주방,주택가주변,N
20141203,20201104,대구광역시 달서구 진천동 423-1 1층,"대구광역시 달서구 상화로19길 9, 1층 (진천동)",엉뚱한돼지,337674.7442,257547.942,탕류(보신용),주택가주변,N
20141113,20150806,대구광역시 달서구 상인동 354-10번지 (지상1층),"대구광역시 달서구 상원로15길 6, 지상1층 (상인동)",동이네식당,338528.5569,258322.8422,한식,주택가주변,N
20141113,20191210,대구광역시 달서구 송현동 2006-9번지 (지상1층),"대구광역시 달서구 중흥로 46-1, 지상1층 (송현동)",앞산통구이,340611.278,259995.7449,식육(숯불구이),기타,N
20141114,20150318,대구광역시 달서구 송현동 130-3번지 1층,"대구광역시 달서구 학산로 245, 1층 (송현동)",술파는집,340284.5949,260431.9023,호프/통닭,기타,N
20141121,20210105,대구광역시 달서구 호산동 379 (지상1층),"대구광역시 달서구 호산동로35길 25, 지상1층 (호산동)",복주마실,334012.4505,262152.1762,분식,,N
20141223,20200103,대구광역시 달서구 도원동 1432-7번지 대한빌딩 107호,"대구광역시 달서구 한실로 69, 지상1층 107호 (도원동, 대한빌딩)",옛날통닭,338623.7682,257437.5335,통닭(치킨),기타,N
20141224,20160701,대구광역시 달서구 상인동 70-3번지 에스앤시티 101동 201호,"대구광역시 달서구 월곡로 294-2, 101동 지상2층 201호 (상인동, 에스앤시티)",블론드,338899.7577,258811.2381,호프/통닭,기타,Y
20141224,20190220,대구광역시 달서구 감삼동 521번지 외 1필지 우방드림시티 202동 110호,"대구광역시 달서구 장기로 242, 202동 지상1층 110호 (감삼동, 우방드림시티)",서민통닭,338560.6949,261656.2406,통닭(치킨),,N
20141226,20200615,대구광역시 달서구 감삼동 452-1번지 외6필지 (지상2층),"대구광역시 달서구 달구벌대로 1542, 지상2층 (감삼동)",코코샤브 대구죽전점,338660.4669,262127.3949,식육(숯불구이),,Y
20141229,20161101,대구광역시 달서구 신당동 1723-9번지 2~3층,"대구광역시 달서구 계대동문로 29, 2~3층 (신당동)",조인쉐프뉴욕(계명대점),335005.808,262752.7745,경양식,,Y
20150102,20160330,대구광역시 달서구 상인동 1447-7번지 1층,"대구광역시 달서구 상원로 31, 1층 (상인동)",등대막걸리,338798.4715,258059.7719,정종/대포집/소주방,주택가주변,N
20141125,20150512,대구광역시 달서구 진천동 604-1번지 2층,"대구광역시 달서구 진천로 75-26, 2층 (진천동)",보성튤밭찜닭(진천점),337396.8006,258226.4007,기타,,Y
20141125,20151207,대구광역시 달서구 월성동 1544-2번지 (지상1층),"대구광역시 달서구 조암남로14길 19, 지상1층 (월성동)",스카이막창 곰장어,337765.4867,259010.5733,식육(숯불구이),아파트지역,N
20150120,20161212,대구광역시 달서구 송현동 1032-2번지 1층,"대구광역시 달서구 구마로52길 41, 1층 (송현동)",돈톡,340442.4144,260587.9717,식육(숯불구이),주택가주변,N
20150107,20150122,대구광역시 달서구 상인동 1529-9번지 1층,"대구광역시 달서구 상인서로10길 6-7, 1층 (상인동)",오복식당,339635.6666,258213.5616,기타,,N
20150109,20180720,대구광역시 달서구 감삼동 100-5번지 1층,"대구광역시 달서구 달구벌대로 1600, 1층 (감삼동)",한솥도시락 구병원앞점,339201.5586,262358.3253,김밥(도시락),,N
20150113,20170727,대구광역시 달서구 상인동 1514번지 상인현대맨션 상가107동 1층 101-1호,"대구광역시 달서구 상인서로 85, 상가107동 1층 101-1호 (상인동, 상인현대맨션)",모이라 돈까스,339164.8552,258544.0879,기타,아파트지역,N
20150113,20180724,대구광역시 달서구 호산동 712-19번지 (지상1층),"대구광역시 달서구 성서공단로11길 64-1, 지상1층 (호산동)",엠짱(M짱),334399.619,261101.5368,식육(숯불구이),기타,N
20150114,20160112,대구광역시 달서구 죽전동 368번지 죽전그린빌 상가가동 102호,"대구광역시 달서구 와룡로53길 40, 상가 가동 1층 102호 (죽전동, 죽전그린빌)",미소뜨락,338657.7541,263001.294,한식,,N
20150115,20200923,대구광역시 달서구 감삼동 55-5 (지상1층) 3호,"대구광역시 달서구 달구벌대로329길 17, 지상1층 3호 (감삼동)",소문난왕만두,339503.1766,262680.2448,분식,,N
20150211,20181001,대구광역시 달서구 장기동 7-6번지,"대구광역시 달서구 달구벌대로291안길 35, 1,2동 1층 (장기동)",금빛정,337585.2865,262463.9833,한식,,N
20150211,20180227,대구광역시 달서구 송현동 1034-26번지,"대구광역시 달서구 구마로52길 34, 1층 (송현동)",이글판 지글판,340440.6817,260630.167,호프/통닭,주택가주변,N
20150212,20171212,대구광역시 달서구 두류동 804-211번지 1층,"대구광역시 달서구 두류남길 11, 1층 (두류동)",부르봉피자,342067.5244,263132.0169,패스트푸드,,N
20150116,20170221,대구광역시 달서구 상인동 1397-6번지 1층,"대구광역시 달서구 월곡로 267, 1층 (상인동)",치르치르 상인점,338960.9804,258631.7797,호프/통닭,기타,N
20150212,20190515,대구광역시 달서구 성당동 636-2번지 1층,"대구광역시 달서구 장기로 79, 1층 (성당동)",설화,340137.5934,261453.1531,한식,,N
20150213,20201118,대구광역시 달서구 월성동 1176-1,"대구광역시 달서구 조암남로14길 49, 1층 (월성동)",수라간,337768.5573,259168.6184,한식,주택가주변,N
20070629,20100713,대구광역시 북구 침산동 1034-2번지,,송정원,342566.444,267747.0083,한식,기타,N
20070702,20110915,대구광역시 북구 산격동 1277-17번지,,황제떡뽁이,345494.7588,267299.1472,분식,학교정화(상대),N
20070612,20161026,대구광역시 북구 동천동 898-2번지,대구광역시 북구 동천로 128-9 (동천동),허대구대구통닭3지구점,340867.3542,272529.4129,호프/통닭,유흥업소밀집지역,N
20070613,20190723,대구광역시 북구 산격동 1400번지 (3층),"대구광역시 북구 대학로15길 5, 3층 (산격동)",브런치카페U(유)3,345142.6311,266976.8143,호프/통닭,학교정화(상대),N
20070613,20150925,대구광역시 북구 고성동3가 83번지,대구광역시 북구 고성북로 29-1 (고성동3가),길,342895.8343,265838.6568,호프/통닭,주택가주변,N
20070613,20100201,대구광역시 북구 침산동 645-11번지,,무림감자탕,343379.0934,267707.9827,한식,주택가주변,N
20141124,20181227,대구광역시 달서구 호산동 712-15번지 (지상1층),"대구광역시 달서구 성서공단로11길 64-9, 지상1층 (호산동)",구구메기매운탕,334480.3291,261102.9607,한식,,N
20141124,20160509,대구광역시 달서구 신당동 1761-11번지 (지상1층),"대구광역시 달서구 성서서로73길 8, 지상1층 (신당동)",행복한포차,335364.8114,262946.64,정종/대포집/소주방,,N
