Date,Country/Region,Confirmed,Recovered,Deaths
2020-03-13,"Korea, South",7979,510,66
2020-03-14,"Korea, South",8086,510,72
2020-03-15,"Korea, South",8162,510,75
2020-03-16,"Korea, South",8236,1137,75
2020-03-17,"Korea, South",8320,1407,81
2020-03-18,"Korea, South",8413,1540,84
2020-03-19,"Korea, South",8565,1540,91
2020-03-20,"Korea, South",8652,1540,94
2020-03-21,"Korea, South",8799,1540,102
2020-03-22,"Korea, South",8961,2909,111
2020-03-23,"Korea, South",8961,2909,111
2020-03-24,"Korea, South",9037,3507,120
2020-03-25,"Korea, South",9137,3730,126
2020-03-26,"Korea, South",9241,4144,131
2020-03-27,"Korea, South",9332,4528,139
2020-03-28,"Korea, South",9478,4811,144
2020-03-29,"Korea, South",9583,5033,152
2020-03-30,"Korea, South",9661,5228,158
2020-03-31,"Korea, South",9786,5408,162
2020-04-01,"Korea, South",9887,5567,165
2020-04-02,"Korea, South",9976,5828,169
2020-04-03,"Korea, South",10062,6021,174
2020-04-04,"Korea, South",10156,6325,177
2020-04-05,"Korea, South",10237,6463,183
2020-04-06,"Korea, South",10284,6598,186
2020-04-07,"Korea, South",10331,6694,192
2020-04-08,"Korea, South",10384,6776,200
2020-04-09,"Korea, South",10423,6973,204
2020-04-10,"Korea, South",10450,7117,208
2020-04-11,"Korea, South",10480,7243,211
2020-04-12,"Korea, South",10512,7368,214
2020-04-13,"Korea, South",10537,7447,217
2020-04-14,"Korea, South",10564,7534,222
2020-04-15,"Korea, South",10591,7616,225
2020-04-16,"Korea, South",10613,7757,229
2020-04-17,"Korea, South",10635,7829,230
2020-04-18,"Korea, South",10653,7937,232
2020-04-19,"Korea, South",10661,8042,234
2020-04-20,"Korea, South",10674,8114,236
2020-04-21,"Korea, South",10683,8213,237
2020-04-22,"Korea, South",10694,8277,238
2020-04-23,"Korea, South",10708,8501,240
2020-04-24,"Korea, South",10718,8635,240
2020-04-25,"Korea, South",10728,8717,242
2020-04-26,"Korea, South",10738,8764,243
2020-04-27,"Korea, South",10752,8854,244
2020-04-28,"Korea, South",10761,8922,246
2020-04-29,"Korea, South",10765,9059,247
2020-04-30,"Korea, South",10774,9072,248
2020-05-01,"Korea, South",10780,9123,250
2020-05-02,"Korea, South",10793,9183,250
2020-05-03,"Korea, South",10801,9217,252
2020-05-04,"Korea, South",10804,9283,254
2020-05-05,"Korea, South",10806,9333,255
2020-05-06,"Korea, South",10810,9419,256
2020-05-07,"Korea, South",10822,9484,256
2020-05-08,"Korea, South",10840,9568,256
2020-05-09,"Korea, South",10874,9610,256
2020-05-10,"Korea, South",10909,9632,256
2020-05-11,"Korea, South",10936,9670,258
2020-05-12,"Korea, South",10962,9695,259
2020-05-13,"Korea, South",10991,9762,260
2020-05-14,"Korea, South",11018,9821,260
2020-05-15,"Korea, South",11037,9851,262
2020-05-16,"Korea, South",11050,9888,262
2020-05-17,"Korea, South",11065,9904,263
2020-05-18,"Korea, South",11078,9938,263
2020-05-19,"Korea, South",11110,10066,263
2020-05-20,"Korea, South",11122,10135,264
2020-05-21,"Korea, South",11142,10162,264
2020-05-22,"Korea, South",11165,10194,266
2020-05-23,"Korea, South",11190,10213,266
2020-05-24,"Korea, South",11206,10226,267
2020-05-25,"Korea, South",11225,10275,269
2020-05-26,"Korea, South",11265,10295,269
2020-05-27,"Korea, South",11344,10340,269
2020-05-28,"Korea, South",11402,10363,269
2020-05-29,"Korea, South",11441,10398,269
2020-05-30,"Korea, South",11468,10405,270
2020-05-31,"Korea, South",11503,10422,271
2020-06-01,"Korea, South",11541,10446,272
2020-06-02,"Korea, South",11590,10467,273
2020-06-03,"Korea, South",11629,10499,273
2020-06-04,"Korea, South",11668,10506,273
2020-06-05,"Korea, South",11719,10531,273
2020-06-06,"Korea, South",11776,10552,273
2020-06-07,"Korea, South",11814,10563,273
2020-06-08,"Korea, South",11852,10589,274
2020-06-09,"Korea, South",11902,10611,276
2020-06-10,"Korea, South",11947,10654,276
2020-06-11,"Korea, South",12003,10669,277
2020-06-12,"Korea, South",12051,10691,277
2020-06-13,"Korea, South",12085,10718,277
2020-06-14,"Korea, South",12121,10730,277
2020-06-15,"Korea, South",12155,10760,278
2020-06-16,"Korea, South",12198,10774,279
2020-06-17,"Korea, South",12257,10800,280
2020-06-18,"Korea, South",12306,10835,280
2020-06-19,"Korea, South",12373,10856,280
2020-06-20,"Korea, South",12421,10868,280
2020-06-21,"Korea, South",12438,10881,280
2020-06-22,"Korea, South",12484,10908,281
2020-06-23,"Korea, South",12535,10930,281
2020-06-24,"Korea, South",12563,10974,282
2020-06-25,"Korea, South",12602,11172,282
2020-06-26,"Korea, South",12653,11317,282
2020-06-27,"Korea, South",12715,11364,282
2020-06-28,"Korea, South",12757,11429,282
2020-06-29,"Korea, South",12800,11537,282
2020-06-30,"Korea, South",12850,11613,282
2020-07-01,"Korea, South",12904,11684,282
2020-07-02,"Korea, South",12967,11759,282
2020-07-03,"Korea, South",13030,11811,283
2020-07-04,"Korea, South",13091,11832,283
2020-07-05,"Korea, South",13137,11848,284
2020-07-06,"Korea, South",13181,11914,285
2020-07-07,"Korea, South",13244,11970,285
2020-07-08,"Korea, South",13293,12019,287
2020-07-09,"Korea, South",13338,12065,288
2020-07-10,"Korea, South",13373,12144,288
2020-07-11,"Korea, South",13417,12178,289
2020-07-12,"Korea, South",13479,12204,289
2020-07-13,"Korea, South",13512,12282,289
2020-07-14,"Korea, South",13551,12348,289
2020-07-15,"Korea, South",13612,12396,291
2020-07-16,"Korea, South",13672,12460,293
2020-07-17,"Korea, South",13711,12519,294
2020-07-18,"Korea, South",13745,12556,295
2020-07-19,"Korea, South",13771,12572,296
2020-07-20,"Korea, South",13816,12643,296
2020-07-21,"Korea, South",13879,12698,297
2020-07-22,"Korea, South",13938,12758,297
2020-07-23,"Korea, South",13979,12817,298
2020-07-24,"Korea, South",14092,12866,298
2020-07-25,"Korea, South",14150,12890,298
2020-07-26,"Korea, South",14175,12905,299
2020-07-27,"Korea, South",14203,13007,300
2020-07-28,"Korea, South",14251,13069,300
2020-07-29,"Korea, South",14269,13132,300
2020-07-30,"Korea, South",14305,13183,301
2020-07-31,"Korea, South",14336,13233,301
2020-08-01,"Korea, South",14366,13259,301
2020-08-02,"Korea, South",14389,13280,301
2020-08-03,"Korea, South",14423,13352,301
2020-08-04,"Korea, South",14456,13406,302
2020-08-05,"Korea, South",14499,13501,302
2020-08-06,"Korea, South",14519,13543,303
2020-08-07,"Korea, South",14562,13629,304
2020-08-08,"Korea, South",14598,13642,305
2020-08-09,"Korea, South",14626,13658,305
2020-08-10,"Korea, South",14660,13729,305
2020-08-11,"Korea, South",14714,13786,305
2020-08-12,"Korea, South",14770,13817,305
2020-08-13,"Korea, South",14873,13863,305
2020-08-14,"Korea, South",15039,13901,305
2020-08-15,"Korea, South",15318,13910,305
2020-08-16,"Korea, South",15515,13917,305
2020-08-17,"Korea, South",15761,13934,306
2020-08-18,"Korea, South",16058,14006,306
2020-08-19,"Korea, South",16346,14063,307
2020-08-20,"Korea, South",16670,14120,309
2020-08-21,"Korea, South",17002,14169,309
2020-08-22,"Korea, South",17399,14200,309
2020-08-23,"Korea, South",17665,14219,309
2020-08-24,"Korea, South",17945,14286,310
2020-08-25,"Korea, South",18265,14368,312
2020-08-26,"Korea, South",18706,14461,313
2020-08-27,"Korea, South",19077,14551,316
2020-08-28,"Korea, South",19400,14765,321
2020-08-29,"Korea, South",19699,14903,323
2020-08-30,"Korea, South",19947,14973,324
2020-08-31,"Korea, South",20182,15198,324
2020-09-01,"Korea, South",20449,15356,326
2020-09-02,"Korea, South",20644,15529,329
2020-09-03,"Korea, South",20842,15783,331
2020-09-04,"Korea, South",21010,16009,333
2020-09-05,"Korea, South",21177,16146,334
2020-09-06,"Korea, South",21296,16297,336
2020-09-07,"Korea, South",21432,16636,341
2020-09-08,"Korea, South",21588,17023,344
2020-09-09,"Korea, South",21743,17360,346
2020-09-10,"Korea, South",21919,17616,350
2020-09-11,"Korea, South",22055,18029,355
2020-09-12,"Korea, South",22176,18226,358
2020-09-13,"Korea, South",22285,18489,363
2020-09-14,"Korea, South",22391,18878,367
2020-09-15,"Korea, South",22504,19310,367
2020-09-16,"Korea, South",22657,19543,372
2020-09-17,"Korea, South",22783,19771,377
2020-09-18,"Korea, South",22893,19970,378
2020-09-19,"Korea, South",22975,20158,383
2020-09-20,"Korea, South",23045,20248,385
2020-09-21,"Korea, South",23106,20441,388
2020-09-22,"Korea, South",23216,20650,388
2020-09-23,"Korea, South",23341,20832,393
2020-09-24,"Korea, South",23455,20978,395
2020-09-25,"Korea, South",23516,21166,399
2020-09-26,"Korea, South",23611,21248,401
2020-09-27,"Korea, South",23661,21292,406
2020-09-28,"Korea, South",23699,21470,407
2020-09-29,"Korea, South",23812,21590,413
2020-09-30,"Korea, South",23889,21666,415
2020-10-01,"Korea, South",23952,21733,416
2020-10-02,"Korea, South",24027,21787,420
2020-10-03,"Korea, South",24091,21845,421
2020-10-04,"Korea, South",24164,21886,422
2020-10-05,"Korea, South",24239,22083,422
2020-10-06,"Korea, South",24353,22334,425
2020-10-07,"Korea, South",24422,22463,427
2020-10-08,"Korea, South",24476,22569,428
2020-10-09,"Korea, South",24548,22624,430
2020-10-10,"Korea, South",24606,22693,432
2020-10-11,"Korea, South",24703,22729,433
2020-10-12,"Korea, South",24805,22863,434
2020-10-13,"Korea, South",24889,23030,438
2020-10-14,"Korea, South",24988,23082,439
2020-10-15,"Korea, South",25035,23180,441
2020-10-16,"Korea, South",25108,23258,443
2020-10-17,"Korea, South",25199,23312,444
2020-10-18,"Korea, South",25275,23368,444
2020-10-19,"Korea, South",25333,23466,447
2020-10-20,"Korea, South",25424,23584,450
2020-10-21,"Korea, South",25543,23647,453
2020-10-22,"Korea, South",25698,23717,455
2020-10-23,"Korea, South",25775,23834,457
2020-10-24,"Korea, South",25836,23869,457
2020-10-25,"Korea, South",25955,23905,457
2020-10-26,"Korea, South",26043,23981,460
2020-10-27,"Korea, South",26146,24073,461
2020-10-28,"Korea, South",26271,24168,462
2020-10-29,"Korea, South",26385,24227,463
2020-10-30,"Korea, South",26511,24311,464
2020-10-31,"Korea, South",26635,24357,466
2020-11-01,"Korea, South",26732,24395,468
2020-11-02,"Korea, South",26807,24510,472
2020-11-03,"Korea, South",26925,24616,474
2020-11-04,"Korea, South",27050,24735,475
2020-11-05,"Korea, South",27195,24821,476
2020-11-06,"Korea, South",27284,24910,477
2020-11-07,"Korea, South",27427,24968,478
2020-11-08,"Korea, South",27553,25029,480
2020-11-09,"Korea, South",27653,25160,485
2020-11-10,"Korea, South",27799,25266,487
2020-11-11,"Korea, South",27942,25404,487
2020-11-12,"Korea, South",28133,25537,488
2020-11-13,"Korea, South",28338,25636,492
2020-11-14,"Korea, South",28546,25691,493
2020-11-15,"Korea, South",28769,25759,494
2020-11-16,"Korea, South",28998,25860,494
2020-11-17,"Korea, South",29311,25973,496
2020-11-18,"Korea, South",29654,26098,498
2020-11-19,"Korea, South",30017,26263,501
2020-11-20,"Korea, South",30403,26365,503
2020-11-21,"Korea, South",30733,26466,505
2020-11-22,"Korea, South",31004,26539,509
2020-11-23,"Korea, South",31353,26722,510
2020-11-24,"Korea, South",31735,26825,513
2020-11-25,"Korea, South",32318,26950,515
2020-11-26,"Korea, South",32887,27103,516
2020-11-27,"Korea, South",33375,27349,522
2020-11-28,"Korea, South",33824,27542,523
2020-11-29,"Korea, South",34201,27653,526
2020-11-30,"Korea, South",34652,27885,526
2020-12-01,"Korea, South",35163,28065,526
2020-12-02,"Korea, South",35703,28352,529
2020-12-03,"Korea, South",36332,28611,536
2020-12-04,"Korea, South",36915,28917,540
2020-12-05,"Korea, South",37546,29128,545
2020-12-06,"Korea, South",38161,29301,549
2020-12-07,"Korea, South",38755,29650,552
2020-12-08,"Korea, South",39432,30177,556
2020-12-09,"Korea, South",40098,30637,564
2020-12-10,"Korea, South",40786,31157,572
2020-12-11,"Korea, South",41736,31493,578
2020-12-12,"Korea, South",42766,31814,580
2020-12-13,"Korea, South",43484,32102,587
2020-12-14,"Korea, South",44364,32559,600
2020-12-15,"Korea, South",45442,32947,612
2020-12-16,"Korea, South",46453,33610,634
2020-12-17,"Korea, South",47515,33982,645
2020-12-18,"Korea, South",48570,34334,659
2020-12-19,"Korea, South",49665,34722,674
2020-12-20,"Korea, South",50591,35155,698
2020-12-21,"Korea, South",51460,35928,722
2020-12-22,"Korea, South",52550,36726,739
2020-12-23,"Korea, South",53533,37425,756
2020-12-24,"Korea, South",54770,38048,773
2020-12-25,"Korea, South",55902,38532,793
2020-12-26,"Korea, South",56872,39040,808
2020-12-27,"Korea, South",57680,39268,819
2020-12-28,"Korea, South",58725,40703,859
2020-12-29,"Korea, South",59773,41435,879
2020-12-30,"Korea, South",60740,42271,900
2020-12-31,"Korea, South",61769,42953,917
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
